,model,store,versions,sale
171,华为mate30(5G/4G版可选)（白条6期免息0首付+送一年碎屏险）亮黑色8GB+128GB全网通（5G版）,炜东电商旗舰店,"{'8GB+128GB全网通（5G版）': '4999.00', '8GB+256GB全网通（5G版）': '5499.00', '8G+128GB全网通（4G版）': '4299.00', '6G+128GB全网通（4G版）': '3999.00'}",0.8
575,三星GalaxyS,九九二手商品专营店,"{'S8【4+64】送黑色原装充电器': '1330.00', 's8[4+128]': '1750.00'}",0.8
567,守护宝L6,守护宝手机京东自营旗舰店,{'': '189.00'},0.8
89,Appleiphonex,泰业优品二手手机旗舰店,"{'64G 全网通『赠全新苹果充电器』': '3699.00', '256G 全网通『赠全新苹果充电器』': '4166.00', '6期免息白条分期0首付『64G』': '4099.00', '6期免息白条分期0首付『256G』': '4599.00'}",0.8
150,华为畅享Max7.12寸大屏幻夜黑全网通（6GB+128GB）,聚捷联盛手机旗舰店,{'': '1159.00'},0.8
494,三星GalaxyS,中国移动手机官方旗舰店,"{'6+128GB': '3759.00', '6+128GB（碎屏无忧）': '3869.00'}",0.8
499,88488848M5,8848手机官方旗舰店,{'': '9999.00'},0.8
607,荣耀v20麒麟980芯片魅眼全视屏4800万深感相机魅海蓝全网通8G+128G,优爱特手机专营店,"{'全网通 6G+128G': '1799.00', '全网通 8G+128G': '1949.00', '全网通 8G+128G (一年屏碎险套装)': '1999.00'}",0.8
432,小米mix3黑色8+256G,谷高数码手机专营店,"{'6+128G': '2058.00', '8+128G': '2138.00', '8+256G': '2348.00'}",0.8
458,华为畅享10PluS,佳沪手机旗舰店,"{'6GB+128GB': '1699.00', '4GB+128GB': '1399.00', '8GB+128GB': '1899.00'}",0.8
457,华为Mate20RS,佳沪手机旗舰店,{'': '6599.00'},0.8
510,华为nova5Pro,严集手机旗舰店,{'': '2499.00'},0.8
300,华为nova5Pro,茄子手机旗舰店,"{'全网通(8GB+256GB)': '3099.00', '全网通(8GB+128GB)': '2699.10'}",0.8
275,OPPOOPPOReno2Z,OPPO墨白专卖店,"{'官方标配': '2299.00', '超值套装': '2399.00'}",0.7
261,三星GalaxyA50S,三星手机京东自营官方旗舰店,{'': '1868.00'},0.7
549,iPhone11Pro,臻火旗舰店,"{'64GB': '8199.00', '256GB': '9499.00', '512GB': '11499.00'}",0.7
130,华为mate30Pro,同达丰手机旗舰店,"{'5G版(8G+256G)【华为无线充+华为AI音】': '6909.00', '5G版(8G+512G)【华为无线充+华为AI音】': '7899.00', '5G版(8G+128G)【华为无线充+华为AI音】': '6409.00'}",0.7
612,iPhone11Pro,疆界互联旗舰店,"{'256GB': '9459.00', '64GB': '8129.00', '512GB': '11499.00', '全网通256G+1年碎屏保': '9608.00', '全网通64G+1年碎屏保': '8278.00', '全网通512G+1年碎屏保': '11648.00'}",0.7
99,华为HUAWEIMate30Pro,头号卖家旗舰店,"{'全网通8GB+256GB(5G版)': '6899.00', '全网通8GB+512GB（5G版）': '7899.00', '全网通8GB+128GB（5G版）': '6399.00'}",0.7
240,一加OnePluS,牧申手机旗舰店,"{'8+256GB': '3299.00', '8+128GB': '2999.00'}",0.7
596,小米9Pro,淘金手机专营店,{'': '4349.00'},0.7
375,小米mix3黑色8+256G,谷高数码手机专营店,"{'6+128G': '2058.00', '8+128G': '2138.00', '8+256G': '2348.00'}",0.7
232,一加OnePluS,牧申手机旗舰店,"{'8+256GB': '3299.00', '8+128GB': '2999.00'}",0.7
473,联想Z5Pro,世云手机专营店,"{'6GB+128GB': '1299.00', '8GB+256GB': '1599.00', '8GB+128GB': '1999.00'}",0.7
201,一加OnePluS,牧申手机旗舰店,"{'8+256GB': '3299.00', '8+128GB': '2999.00'}",0.7
274,荣耀20Pro,聚捷联盛手机旗舰店,"{'（8G+256G)': '2588.00', '（8G+128G）': '2699.00', '（8G+256G）（12期免息零首付）': '2999.00'}",0.7
85,柔宇（ROYOLE）FlexPai柔派柔性折叠屏,柔宇旗舰店,{'': '8999.00'},0.6
333,华为nova5Pro,易橙手机专营店,"{'8GB+128GB': '2499.00', '8GB+256GB': '2899.00'}",0.6
131,小米红米K30,佳沪手机旗舰店,"{'全网通6G+128G': '1699.00', '全网通8G+128G': '1899.00', '全网通8G+256G': '2199.00'}",0.6
283,88488848M4,8848手机官方旗舰店,{'': '5999.00'},0.6
520,Apple7,君问手机旗舰店,{'': '2699.00'},0.6
344,美图（meitu）V7,佳沪手机旗舰店,{'': '2699.00'},0.6
82,荣耀v30,京铠玄手机旗舰店,"{'6+128G 全网通': '3299.60', '8+128G 全网通': '3699.40'}",0.6
111,三星GalaxyS,中国移动手机官方旗舰店,"{'8GB+128GB': '4899.00', '8GB+128GB（碎屏无忧套餐）': '5019.00'}",0.6
551,华为p30天空之境全网通(8G+128G),鹏瑶旗舰店,{'': '3688.00'},0.6
399,美图（meitu）V7,佳沪手机旗舰店,{'': '2699.00'},0.6
430,小米CC9Pro,茄子手机旗舰店,"{'8GB+128GB': '2668.00', '8GB+256GB': '2988.00', '6GB+128GB': '2588.00'}",0.6
613,华为HUAWEIP30,闲至优品二手手机旗舰店,"{'8GB+64GB': '2459.00', '8GB+128GB': '2729.00', '8GB+256GB': '3199.00', '6GB+128GB': '2659.00'}",0.6
425,红米K30,茄子手机旗舰店,"{'全网通4G (6GB+128GB)': '1699.00', '全网通4G(8GB+128GB)': '1899.00', '全网通4G(8GB+256GB)': '2199.00', '全网通4G (6GB+64GB)': '1599.00', '全网通4G(8GB+256GB)订金10抵220元': '2199.00'}",0.6
608,华为畅享10PluS,同达丰手机旗舰店,"{'全网通 6G+128G': '1699.00', '全网通 4G+128G': '1399.00'}",0.6
604,华为Mate20Pro,众宇通手机专营店,"{'6GB+128GB(到手价3499元)': '3999.00', '8GB+128GB(到手价3699元)': '4599.00', '全网通(6GB 128GB)【分期免息版】': '3999.00', '全网通(8GB 128GB)【分期免息版】': '4599.00'}",0.6
558,红米8A全网通超长待机智能老人老年备用深海蓝4GB+64GB,伟德手机专营店,"{'3GB+32GB': '655.00', '4GB+64GB': '668.00'}",0.6
321,华为nova5Pro,易橙手机专营店,"{'8GB+128GB': '2499.00', '8GB+256GB': '2899.00'}",0.6
388,小米CC9Pro,茄子手机旗舰店,"{'8GB+128GB': '2668.00', '8GB+256GB': '2988.00', '6GB+128GB': '2588.00'}",0.6
471,荣耀9XPro,聚捷联盛手机旗舰店,"{'8G+128G': '1999.00', '8G+256G': '1938.00'}",0.6
383,红米K30,茄子手机旗舰店,"{'全网通4G (6GB+128GB)': '1699.00', '全网通4G(8GB+128GB)': '1899.00', '全网通4G(8GB+256GB)': '2199.00', '全网通4G (6GB+64GB)': '1599.00', '全网通4G(8GB+256GB)订金10抵220元': '2199.00'}",0.6
573,iPhone8PluS,丰泽优品二手商品专营店,"{'64G 全网通': '2828.00', '256G 全网通': '3699.00'}",0.6
536,朵唯D11新款6GB+64/128GB智能渐变玻璃八核6.3英寸水滴全面屏老人全网通4G人脸指纹极光色6GB+64GB,金诚腾达手机专营店,"{'6GB+64GB': '689.00', '6GB+128GB': '778.00'}",0.5
217,vivoY9S,vivo京东自营官方旗舰店,{'': '1998.00'},0.5
186,vivoY9S,vivo京东自营官方旗舰店,{'': '1998.00'},0.5
603,努比亚（nubia）红魔3代,茄子手机旗舰店,"{'全网通(6G+64G)': '2299.00', '全网通(6G+128G)': '2248.00', '全网通(8G+128G)': '2399.00', '全网通(12G+256G)': '3799.00'}",0.5
545,华为nova6赠多重好礼普罗旺斯5GS,新松联手机旗舰店,"{'5G SA/NSA双模全网通(8+128G)': '3799.00', '5G SA/NSA双模全网通(8+256G)': '4199.00', '4G全网通(8+128G)': '3199.00'}",0.5
614,华为nova5Pro,冰之凯盛手机专营店,"{'移动全网通 （8GB+128GB）': '2268.00', '移动全网通 （8GB+256GB）': '2599.00'}",0.5
532,华为nova5z幻夜黑全网通(6G+64G),掌视界数码旗舰店,"{'全网通(6G+64G)': '1499.00', '全网通(6G+128G)': '1699.00'}",0.5
303,小米CC9Pro,佳沪手机旗舰店,"{'全网通6G+128G': '2598.00', '全网通8G+128G': '2678.00', '全网通8G+256G': '3078.00'}",0.5
391,iPhone11Pro,淘金手机专营店,"{'全网通 (64G)': '8168.00', '全网通 (256G)': '9468.00', '全网通(512G)': '13000.00', '全网通(64G)分期免息': '9099.00', '全网通(256)分期免息': '12000.00'}",0.5
438,iPhone11,京合旗舰店,"{'全网通64GB': '5499.00', '全网通128GB': '5999.00', '全网通256GB': '6799.00'}",0.4
580,三星（S,智达二手手机专营店,"{'6G+64G 全网通4G': '4699.00', '6G+256G 全网通4G': '6999.00'}",0.4
270,OPPORenoAce高通骁龙855PluS,OPPO官方直营旗舰店,"{'标配版': '3599.00', '超值套装': '3699.00'}",0.4
489,华为Mate20X,茄子手机旗舰店,"{'全网通8G+256G': '4399.00', '全网通6G+128G': '3028.00'}",0.4
541,锤子（S,佳沪手机旗舰店,{'': '2899.00'},0.4
287,三星（S,掌视界数码旗舰店,{'': '11999.00'},0.4
561,红米Note8Pro,华信通手机专营店,"{'6G RAM+64G ROM': '1188.00', '6G RAM+128G ROM': '1308.00', '8G RAM+128G ROM': '1428.00'}",0.4
537,荣耀note10幻夜黑全网通（6GB+128GB）,华信通手机专营店,"{'全网通（6GB+128GB）': '1348.00', '全网通（6GB+64GB）': '1336.00'}",0.4
334,iPhone11Pro,淘金手机专营店,"{'全网通 (64G)': '8138.00', '全网通 (256G)': '9398.00', '全网通(512G)': '13000.00', '全网通(64G)分期免息': '9099.00', '全网通(256)分期免息': '12000.00'}",0.4
364,AppleiPhoneXS,拍拍二手自营旗舰店,"{'64G全网通': '4599.00', '256G全网通': '5399.00', '512G全网通': '5799.00'}",0.4
568,华为HUAWEInova5Pro,淘金手机专营店,"{'全网通 (8G+128G)咨询领210元券': '2699.00', '全网通 (8G+256G)咨询领210元券': '3099.00', '全网通(8G+128G)24期免息': '2699.00', '全网通(8G+256G)24期免息': '3099.00'}",0.4
138,红米红米K30王一博同款深海微光全网通6G+128G,谷高数码手机专营店,"{'全网通6G+64G': '1599.00', '全网通6G+128G': '1699.00', '全网通8G+128G': '1899.00', '全网通8G+256G': '2199.00'}",0.4
295,荣耀V20,伟德手机专营店,"{'全网通(6GB+128GB)': '1718.00', '全网通版(8GB+128GB)': '1918.00', '移动版全网通(8GB+128GB)': '1899.00'}",0.4
495,荣耀V30Pro,新松联手机旗舰店,"{'全网通 8GB+128GB 碎屏险套装': '3899.00', '全网通 8GB+256GB 碎屏险套装': '4199.00', '全网通 8GB+128GB 无线充套装': '3999.00', '全网通 8GB+256GB 无线充套装': '4299.00', '全网通 8GB+128GB 荣耀手环5NFC套装': '4059.00', '全网通 8GB+256GB 荣耀手环5NFC套装': '4359.00'}",0.4
581,华为畅享9PluS,优爱特手机专营店,"{'全网通（4G+128G）': '1068.00', '全网通（6G+128G）': '1168.00'}",0.4
427,iPhone11,银河信业手机专营店,"{'64GB': '5499.00', '128GB': '5999.00', '256GB': '6899.00'}",0.4
513,华为mate30全网通翡冷翠8GB+128GB（5G版）,千瑞达手机旗舰店,"{'6GB+128GB(4G版）(不支持5G）': '3999.00', '8GB+128GB(4G版）(不支持5G）': '4299.00', '8GB+128GB（5G版）': '4999.00', '8GB+256GB（5G版）': '5499.00'}",0.4
588,vivovivoX27,丰泽优品二手商品专营店,"{'8GB+128GB': '1688.00', '8GB+256GB': '1860.00'}",0.4
592,美图（meitu）V7,酷风行手机旗舰店,{'': '2799.00'},0.4
322,iPhone11Pro,淘金手机专营店,"{'全网通 (64G)': '8138.00', '全网通 (256G)': '9398.00', '全网通(512G)': '13000.00', '全网通(64G)分期免息': '9099.00', '全网通(256)分期免息': '12000.00'}",0.4
97,华为nova6（5G/4G版）亮黑色8+128G全网通（5G版）,京铠玄手机旗舰店,"{'8+256G 全网通（5G版）': '4199.00', '8+128G 全网通（5G版）': '3799.00', '8+128G 全网通（4G版）': '3199.00'}",0.3
