,model,store,versions,sale
295,vivoiQOONeo855,苏宁易购官方旗舰店,"{'8+128GB': '2498.00', '6+128GB': '2298.00'}",771.0
296,荣耀8X,oksj数码旗舰店,"{'6+64GB': '1129.00', '6+128GB': '1299.00'}",769.0
297,荣耀V20,红日通讯认准老店,{'128GB': '1688.00'},768.0
298,华为Mate30Pro5G,同步飞扬数码专营店,"{'8+128GB': '6399.00', '8+256GB': '6899.00', '8+512GB': '7899.00'}",767.0
299,小米redminote7pro,土豪金手机,{'128GB': '1038.00'},764.0
300,皓轩（手机）H5,皓轩赛罗敷专卖店,{'64MB': '49.00'},761.0
301,华为nova5Pro,三际数码官方旗舰店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",760.0
302,美图T9,美图旗舰店,{'4+64GB': '1099.00'},759.0
303,,爱富商城,"{'64GB': '3450.00', '128GB': '3850.00', '256GB': '4004.00'}",758.0
304,OPPOK5,OPPO金谷专卖店,"{'6+128GB': '1799.00', '8+128GB': '1999.00', '8+256GB': '2699.00'}",758.0
305,酷驰（电话和通讯）,正品行货直销,"{'64GB': '468.00', '128GB': '538.00', '256GB': '598.00'}",757.0
306,华为P30PRO,同步飞扬数码专营店,"{'8+128GB': '4488.00', '8+256GB': '4988.00', '8+512GB': '5788.00'}",755.0
307,iPhoneXR,中国深圳手机批发店,"{'64GB': '3489.50', '128GB': '3838.45', '256GB': '3938.15'}",754.0
309,iPhoneXR,中国深圳手机批发店,"{'64GB': '3489.50', '128GB': '3838.45', '256GB': '3938.15'}",754.0
308,小米9,能良数码官方旗舰店,{},753.0
310,小米9,能良数码官方旗舰店,"{'6+128GB': '2399.00', '8+256GB': '2599.00'}",753.0
311,美图T9,美图旅之丰专卖店,"{'4+64GB': '999.00', '6+128GB': '1299.00'}",751.0
312,华为Mate20Pro,华为官方旗舰店,{'6+128GB': '3999.00'},746.0
313,iPhoneX,时尚淘科技城,"{'64GB': '3400.00', '256GB': '3800.00'}",746.0
314,红米8A,三际数码官方旗舰店,"{'3+32GB': '699.00', '4+64GB': '689.00'}",743.0
315,魅族X8,魅族官方旗舰店,"{'4+64GB': '898.00', '6+64GB': '1098.00'}",737.0
316,OPPOK3,OPPO欧曙专卖店,{'6+64GB': '1399.00'},736.0
317,OPPOK5,OPPO欧曙专卖店,"{'6+128GB': '1799.00', '8+128GB': '1999.00', '8+256GB': '2699.00'}",733.0
318,誉品N2,誉品广联专卖店,"{'256MB': '118.00', '8GB': '158.00', '16GB': '178.00', '32GB': '198.00'}",730.0
319,荣耀Play3,博海宇通数码专营店,"{'4+64GB': '799.00', '4+128GB': '1299.00'}",727.0
321,OPPOA11,OPPO官方旗舰店,"{'4+128GB': '1299.00', '6+128GB': '1499.00'}",725.0
320,荣耀V30,苏宁易购官方旗舰店,"{'6+128GB': '3299.00', '8+128GB': '3699.00'}",725.0
322,vivoNEX35G,vivo官方旗舰店,{'8GB+256GB': '5698.00'},724.0
323,荣耀V20,广东电信亿品汇专卖店,{'8+256GB': '2599.00'},717.0
324,天语T2,苏宁易购官方旗舰店,{'32MB': '74.00'},715.0
325,朵唯小朵S1,鼎峰数码专营店,"{'1+8GB': '299.00', '1+16GB': '349.00', '2+16GB': '399.00'}",714.0
326,荣耀20i,土豪金手机,{'64GB': '938.00'},714.0
327,iPhoneXSMax,红豆数码科技,"{'64GB': '3658.00', '256GB': '4058.00'}",713.0
328,小米CC9E,土豪金手机,{'256GB': '1668.00'},712.0
329,朵唯W88,纯林伟业数码专营店,{'256MB': '95.00'},709.0
330,荣耀20S,三际数码官方旗舰店,"{'6+128GB': '1499.00', '8+128GB': '1999.00'}",707.0
331,华为畅享10plus,土豪金手机,{'128GB': '1348.00'},701.0
332,iPhone8Plus,苏宁易购官方旗舰店,{'64GB': '4388.00'},701.0
333,红米8A,卓瓦数码专营店,"{'3+32GB': '649.00', '4+64GB': '679.00'}",698.0
334,OPPOReno2Z,OPPO官方旗舰店,{'8+128GB': '2299.00'},698.0
335,OPPOReno,OPPO熊鑫专卖店,{'6+128GB': '1999.00'},696.0
336,小米CC9,小米官方旗舰店,{'8+256GB': '1999.00'},694.0
337,,明通数码手机,{'128GB': '3078.00'},693.0
338,vivoiQOOPro5G,全国正品数码通讯1号店,{'128GB': '3498.00'},689.0
340,小辣椒小辣椒R17,纯林伟业数码专营店,"{'2+16GB': '389.00', '2+32GB': '479.00', '3+32GB': '549.00', '3+64GB': '639.00'}",678.0
342,华为mate30pro,名品数码诚信的店铺,"{'128GB': '5168.00', '256GB': '5368.00'}",676.0
343,华为2299,一零客数码批发店,{'128MB': '48.00'},672.0
344,华为P30,同步飞扬数码专营店,"{'8+64GB': '3388.00', '6+128GB': '3388.00', '8+128GB': '3688.00', '8+256GB': '4188.00'}",672.0
346,华为畅享10plus,久汇数码专营店,"{'6+128GB': '1699.00', '4+128GB': '1399.00', '8+128GB': '1899.00'}",670.0
347,OPPORenoAce,三际数码官方旗舰店,"{'8+128GB': '2999.00', '8+256GB': '3199.00', '12+256GB': '3999.00'}",669.0
348,荣耀V20,蓝港数码专营店,{'8+256GB': '2599.00'},666.0
349,红米K30,69数码手机,{'64GB': '1538.00'},664.0
350,,深港3C数码,"{'64GB': '3700.00', '128GB': '4000.00', '256GB': '4100.00'}",663.0
351,小辣椒小辣椒P60,小辣椒缔盟专卖店,"{'4+64GB': '599.00', '6G+64GB': '699.00', '6G+128GB': '799.00', '8+128GB': '999.00'}",661.0
352,vivoX30Pro,vivo官方旗舰店,{'8+128GB': '3998.00'},657.0
353,红米8A,小米官方旗舰店,"{'3+32GB': '699.00', '4+64GB': '699.00'}",648.0
354,iPhoneXR,苏宁易购官方旗舰店,{'128GB': '5299.00'},647.0
355,小米CC9,叮当数码手机,{'256GB': '1658.00'},642.0
356,荣耀9x,红日通讯认准老店,{'64GB': '1088.00'},641.0
357,索爱SA-T1,百吉利数码专营店,{'64MB': '89.00'},640.0
359,vivoZ5X,能良数码官方旗舰店,"{'4+64GB': '1298.00', '6+64GB': '1298.00', '6+128GB': '1398.00'}",639.0
358,realmeX2,苏宁易购官方旗舰店,"{'6+64GB': '1499.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",639.0
360,飞利浦E108,飞利浦手机官方旗舰店,{'32MB': '79.00'},635.0
361,OPPOK3,苏宁易购官方旗舰店,{'8+128GB': '1799.00'},635.0
362,BIHEEI100G,BIHEE百合手机官方网店,{'无': '159.00'},634.0
363,誉品M560,誉品旗舰店,{'32MB': '99.00'},634.0
364,索品S2,索品数码专营店,{'32MB': '59.00'},632.0
365,vivoZ1i,vivo官方旗舰店,{'6+128GB': '1099.00'},631.0
366,OPPOReno,OPPO官方旗舰店,"{'6+256GB': '2499.00', '8+256GB': '2799.00'}",628.0
367,HY,老人机大世界,{'128MB': '198.00'},627.0
369,华为畅享5S,老年人智能手机店,{'16GB': '350.00'},623.0
370,荣耀10青春版,三际数码官方旗舰店,"{'4+64GB': '868.00', '6+64GB': '1069.00', '6+128GB': '1299.00'}",622.0
372,OPPOA5,佳惠兴通数码专营店,{'4+64GB': '1199.00'},616.0
373,realmeX,realme官方旗舰店,{'8+128GB': '1699.00'},615.0
374,LGRAVER,亿添富数码广场,{'4GB': '165.00'},613.0
375,华为畅享9,久汇数码专营店,"{'4+64GB': '838.00', '4+128GB': '998.00'}",610.0
376,华为Mate305G,同步飞扬数码专营店,"{'8+128GB': '4999.00', '8+256GB': '5499.00'}",609.0
377,vivoy67,优选服务商家,{'32GB': '408.00'},608.0
378,天语Q3,天语强宇专卖店,{'32MB': '109.00'},608.0
379,坚果Pro3,苏宁易购官方旗舰店,"{'8+128GB': '2899.00', '8+256GB': '3199.00'}",607.0
380,荣耀20pro,三际数码官方旗舰店,"{'8+128GB': '2699.00', '8+256GB': '2999.00'}",603.0
381,,西湖数码,"{'128GB': '5808.00', '256GB': '6288.00', '512GB': '6938.00'}",603.0
382,荣耀magic2,荣耀官方旗舰店,{'8+128GB': '1799.00'},601.0
384,iPhone8,苏宁易购官方旗舰店,{'128GB': '3999.00'},597.0
385,华为畅享10plus,小淘器数码专营店,"{'4+128GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",595.0
386,美图MP1710,美图旗舰店,{'4+128GB': '1399.00'},595.0
387,荣耀20pro,一航通讯手机体验店,{'128GB': '2228.00'},595.0
388,荣耀20,三际数码官方旗舰店,"{'8+128GB': '2199.00', '8+256GB': '2499.00'}",594.0
389,vivoZ5,vivo欧曙专卖店,"{'6+128GB': '1598.00', '8+128GB': '2098.00'}",592.0
390,华为SPN-AL00,蓝港数码专营店,"{'8+128GB': '2299.00', '8+256GB': '2599.00', '6+128GB': '1999.00'}",592.0
391,华为P30PRO,同步电讯手机卖家,"{'128GB': '3898.00', '256GB': '4298.00', '512GB': '5158.00'}",589.0
392,飞利浦E107,苏宁易购官方旗舰店,{'24MB': '79.00'},587.0
393,realmeX2Pro,realme官方旗舰店,"{'8+128GB': '2899.00', '12+256GB': '3299.00', '8+256GB': '3099.00'}",586.0
394,iPhone11,武汉电信旗舰,"{'64GB': '5299.00', '128GB': '5799.00'}",586.0
395,iphone6S,yulong科技,"{'16GB': '850.00', '32GB': '920.00', '64GB': '1020.00', '128GB': '1120.00'}",586.0
396,华为畅享9PLUS,中国移动官方旗舰店,{'6+128GB': '1328.00'},585.0
397,荣耀9x,oksj数码旗舰店,"{'4+64GB': '1099.00', '6+64GB': '1299.00', '6+128GB': '1799.00', '8+128GB': '1999.00'}",579.0
398,HY,易购手机大卖场,{'64MB': '168.00'},579.0
399,iPhone11,领域数码通讯,"{'128GB': '5750.00', '256GB': '6580.00'}",575.0
400,华为mate30pro,西湖数码,"{'128GB': '5308.00', '256GB': '5478.00'}",574.0
401,纽曼L520,宸欣数码专营店,{'32MB': '148.00'},572.0
402,华为nova4e,中国移动官方旗舰店,{'6+128GB': '1218.00'},571.0
403,朵唯V33,朵唯官方旗舰店,{'3+32GB': '399.00'},570.0
404,vivoy67,兄弟联盟 手机 五金,{'32GB': '458.00'},570.0
406,vivoS1pro,vivo官方旗舰店,"{'8+128GB': '1998.00', '6+256GB': '2298.00', '6+128GB': '1698.00'}",569.0
405,iPhoneSE,亿佳V数码,"{'16GB': '850.00', '32GB': '960.00', '64GB': '1020.00', '128GB': '1120.00'}",569.0
407,iPhone8Plus,蓝希苹果数码体验店,"{'64GB': '2700.00', '256GB': '3200.00'}",563.0
408,iPhone8,苏宁易购官方旗舰店,"{'64GB': '3499.00', '128GB': '3999.00'}",562.0
409,小米redminote7pro,深圳远望数码手机,{'128GB': '5'},562.0
410,华为HuaweiMate30Pro5G,红日通讯认准老店,"{'128GB': '4598.00', '256GB': '5008.00'}",561.0
411,小米CC9PRO,苏宁易购官方旗舰店,"{'6+128GB': '2799.00', '8+128GB': '2999.00'}",561.0
413,iphone6S,悠悠数码,"{'16GB': '880.00', '32GB': '950.00', '64GB': '990.00', '128GB': '1090.00'}",558.0
415,三星GalaxyS8+,新泰时尚,"{'64GB': '1730.00', '128GB': '2000.00'}",557.0
416,小米redminote7pro,三际数码官方旗舰店,{'6+128GB': '1099.00'},555.0
417,朵唯X11Pro,朵唯官方旗舰店,{'6+128GB': '699.00'},553.0
418,华为SPN-AL00,京合旗舰店,"{'6+128GB': '1799.00', '8+128GB': '2099.00', '8+256GB': '2399.00'}",552.0
419,vivoZ5X,vivo官方旗舰店,"{'6+128GB': '1398.00', '6+64GB': '1298.00'}",550.0
420,诺基亚600,鹏展科技通讯,{'128MB': '48.00'},549.0
421,荣耀Play3,广东电信亿品汇专卖店,"{'4+64GB': '799.00', '6+64GB': '1199.00', '4+128GB': '1299.00'}",538.0
422,诺基亚600,一零客数码批发店,{'32MB': '50.00'},537.0
423,,焱论,"{'64GB': '2050.00', '256GB': '2300.00'}",534.0
424,华为nova5,华为官方旗舰店,{'8+128GB': '2599.00'},531.0
425,红米7A,小米官方旗舰店,"{'2+32GB': '539.00', '3+32GB': '549.00'}",530.0
426,红米K20Pro,三际数码官方旗舰店,{'8+256GB': '2499.00'},524.0
427,HY,诺基亚の正品,{'128MB': '118.00'},524.0
428,华为麦芒8,华为官方旗舰店,{'6+128GB': '1599.00'},523.0
429,硕王硕王SAILFR20,硕王鑫基汇专卖店,"{'【经济版】3G运行+32G内存': '398.00', '【普通版】4G运行+32G内存': '498.00', '【高配版】6G运行+64G内存': '598.00', '【顶配版】6G运行+128G内存': '698.00'}",520.0
430,vivoX27,首佳誉数码专营店,{'8+128GB': '2498.00'},520.0
431,OPPOA5,OPPO官方旗舰店,{'3+64GB': '899.00'},520.0
432,VIVL（手机）v17,正品手机4G工厂店,{'128GB': '258.00'},520.0
435,HY,彩虹商贸数码,{'32MB': '208.00'},518.0
434,华为Mate30Pro5G,三际数码官方旗舰店,"{'8+128GB': '6399.00', '8+256GB': '6899.00', '8+512GB': '7899.00'}",518.0
433,华为nova5Pro,能良数码官方旗舰店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",518.0
436,红米8,土豪金手机,{'32GB': '673.00'},517.0
437,华为P30PRO,京合旗舰店,"{'8+128GB': '4488.00', '8+256GB': '4988.00', '8+512GB': '5788.00'}",517.0
438,vivoiQOOPro5G,苏宁易购官方旗舰店,"{'8GB+128GB': '3198.00', '12GB+128GB': '3498.00'}",517.0
439,荣耀9x,金誉数码手机,{'64GB': '1068.00'},515.0
440,华为畅享9PLUS,华为官方旗舰店,"{'4+128GB': '1449.00', '6+128GB': '1749.00'}",513.0
442,魅族魅蓝note6,魅族魅蓝机,{'16GB': '213.00'},505.0
443,荣耀20pro,能良数码官方旗舰店,"{'8+128GB': '2699.00', '8+256GB': '2999.00'}",505.0
444,华为畅享10plus,苏宁易购官方旗舰店,"{'6+128GB': '1699.00', '8+128GB': '1899.00'}",504.0
445,红米K30,三际数码官方旗舰店,"{'6+128GB': '1699.00', '8+128GB': '1899.00', '8+256GB': '2199.00', '6+64GB': '1599.00'}",503.0
446,vivoZ5,能良数码官方旗舰店,"{'6+128GB': '1598.00', '8+128GB': '2098.00'}",502.0
448,OPPOK5,OPPO聚洪欧珀专卖店,"{'6+128GB': '1799.00', '8+128GB': '1999.00', '8+256GB': '2599.00'}",500.0
449,LGRAVER,振华正品手机,{'64MB': '89.00'},500.0
450,华为Mate20Pro,鲁信数码手机店,{'128GB': '3339.00'},497.0
451,红米8A,中国移动官方旗舰店,"{'4+64GB': '739.00', '3+32GB': '689.00'}",495.0
452,iPhone11Pro,光头手机,"{'64GB': '7458.00', '256GB': '8508.00', '512GB': '9988.00'}",495.0
453,小米CC9E,小米官方旗舰店,"{'4+128GB': '1099.00', '6+128GB': '1299.00'}",494.0
454,小米黑鲨游戏手机2Pro,红日通讯认准老店,{'128GB': '1118.00'},493.0
455,华为Mate30Pro5G,乐哇数码专营店,"{'8+128GB': '6399.00', '8+256GB': '6899.00', '8+512GB': '7899.00'}",492.0
456,华为nova5Pro,金誉数码手机,"{'128GB': '2107.99', '256GB': '2438.00'}",490.0
457,红米7,土豪金手机,{'16GB': '748.00'},488.0
458,vivoiQOOPro5G,vivo欧曙专卖店,"{'8GB+128GB': '3498.00', '8GB+256GB': '3998.00', '12GB+128GB': '3798.00'}",486.0
459,,派派数码通讯,"{'64GB': '3178.00', '128GB': '3568.00'}",485.0
460,小米9,三际数码官方旗舰店,"{'8+128GB': '2479.00', '8+256GB': '2549.00'}",484.0
461,荣耀9x,诚亨通讯智能手机专家,{'64GB': '1049.00'},481.0
462,华为nova4e,博海宇通数码专营店,"{'4+128GB': '1199.00', '6+128GB': '1199.00'}",480.0
463,荣耀20青春版,广东电信亿品汇专卖店,"{'6+64GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00', '4+64GB': '1099.00'}",479.0
464,小米9,魅立数码专营店,"{'6+128GB': '2299.00', '8+128GB': '2479.00', '8+256GB': '2499.00'}",479.0
465,,一米阳光通讯城,{'32GB': '448.00'},477.0
466,iPhone11,轻松换数码旗舰店,"{'64GB': '5258.00', '128GB': '5788.00', '256GB': '6688.00'}",477.0
467,荣耀20青春版,三际数码官方旗舰店,"{'4+64GB': '1099.00', '6+64GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",476.0
468,荣耀20青春版,荣耀官方旗舰店,"{'4+64GB': '1099.00', '6+64GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",475.0
469,荣耀Play3,苏宁易购官方旗舰店,"{'4+64GB': '899.00', '6+64GB': '1299.00'}",472.0
470,小米CC9E,金誉数码手机,{'64GB': '1298.00'},472.0
471,魅族魅蓝Note5全网通,机遇通讯8,"{'16GB': '325.00', '32GB': '355.00', '64GB': '518.00'}",472.0
472,红米Note8,能良数码官方旗舰店,"{'4+64GB': '999.00', '6+64GB': '1099.00', '6+128GB': '1269.00'}",472.0
485,荣耀9x,能良数码官方旗舰店,"{'4+64GB': '1099.00', '6+128GB': '1799.00'}",471.0
489,天语X71,苏宁易购官方旗舰店,{'32MB': '78.00'},470.0
487,华为畅享10plus,和来达数码专营店,"{'4+128GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",470.0
488,小米8,品尚通讯,"{'64GB': '1538.00', '128GB': '1638.00', '256GB': '1878.00'}",470.0
473,诺基亚新105,天讯蓝图数码专营店,{'4MB': '139.00'},470.0
474,iPhone11,中国移动手机官方旗舰店,"{'64GB': '5249.00', '128GB': '5839.00'}",470.0
486,三星GalaxyS9+,机峰认证代购,"{'64GB': '2438.00', '128GB': '2608.00', '256GB': '2918.00'}",470.0
490,魅族魅蓝note3,魅族魅蓝直销店,{'16GB': '195.00'},469.0
476,,土豪金手机,{'128GB': '2308.00'},469.0
475,荣耀20pro,苏宁易购官方旗舰店,{'8+128GB': '2699.00'},469.0
491,华为Mate30Pro5G,华为莫问专卖店,"{'8+128GB': '6399.00', '8+256GB': '6899.00', '8+512GB': '7899.00'}",468.0
492,荣耀play3,土豪金手机,{'64GB': '773.00'},467.0
477,华为Mate30Pro5G,华为莫问专卖店,"{'8+128GB': '6399.00', '8+256GB': '6899.00', '8+512GB': '7899.00'}",467.0
494,iPhone11,中国移动手机官方旗舰店,"{'64GB': '5249.00', '128GB': '5839.00'}",466.0
493,iPhone11ProMax,东洋倒爷 舶来品物贩专门店,"{'64GB': '5300.00', '256GB': '6350.00', '512GB': '6650.00'}",466.0
478,魅族魅蓝note3,魅族魅蓝直销店,{'16GB': '195.00'},466.0
495,荣耀20pro,苏宁易购官方旗舰店,{'8+128GB': '2699.00'},465.0
480,iPhone8,格拉科技,"{'64GB': '2150.00', '256GB': '2450.00'}",465.0
479,荣耀9x,能良数码官方旗舰店,"{'6+64GB': '1399.00', '6+128GB': '1799.00'}",465.0
496,iPhone8Plus,新园通讯数码,"{'64GB': '1948.00', '256GB': '2438.00'}",464.0
498,荣耀20,一航通讯手机体验店,{'128GB': '1993.00'},464.0
482,荣耀8X,三际数码官方旗舰店,"{'4+64GB': '879.00', '6+64GB': '1099.00', '6+128GB': '1299.00'}",463.0
481,三星GalaxyS9+,机峰认证代购,"{'64GB': '2438.00', '128GB': '2608.00', '256GB': '2918.00'}",463.0
499,iPhone8,顺辰数码,"{'64GB': '2150.00', '128GB': '2400.00', '256GB': '2450.00'}",463.0
500,纽曼P308,锦万数码专营,"{'3+32GB': '398.00', '4+32GB': '498.00', '6+64GB': '598.00', '6+128GB': '698.00'}",463.0
501,OPPOA5,能良数码官方旗舰店,{'4+64GB': '1199.00'},463.0
504,iPhone11,简益通讯,"{'64GB': '5899.00', '128GB': '6399.00', '256GB': '7199.00'}",462.0
502,,美淘电子商城,{'256MB': '98.00'},462.0
503,OPPOK5,OPPO酷炫专卖店,"{'8+128GB': '1999.00', '6+128GB': '1799.00'}",462.0
483,iPhone11,简益通讯,"{'64GB': '5159.00', '128GB': '5629.00', '256GB': '6459.00'}",462.0
505,vivoZ5X,能良数码官方旗舰店,"{'4+64GB': '1298.00', '6+64GB': '1298.00', '6+128GB': '1398.00', '8+128GB': '1698.00'}",460.0
484,OPPOK5,首佳誉数码专营店,"{'8+128GB': '1999.00', '6+128GB': '1799.00', '8+256GB': '2699.00'}",460.0
506,Appleiphone11pro,洋桃旗舰店,{'64GB': '9999.00'},459.0
507,一加,红日通讯认准老店,{'128GB': '2949.00'},458.0
508,守护宝F6S,守护宝大秦先锋专卖店,"{'3+32GB': '398.00', '4+32GB': '468.00'}",457.0
509,诺基亚600,翔飞数码通讯,{'128MB': '48.00'},457.0
510,华为Mate305G,三际数码官方旗舰店,"{'8+128GB': '4999.00', '8+256GB': '5499.00'}",454.0
512,红米8,叮当数码手机,{'32GB': '673.00'},452.0
513,守护宝ZTEtechL660,苏宁易购官方旗舰店,{'32MB': '179.00'},452.0
516,华为Mate30Pro5G,蓝港数码专营店,"{'8+256GB': '6899.00', '8+512GB': '7899.00', '8+128GB': '6399.00'}",450.0
515,飞利浦E212A,苏宁易购官方旗舰店,{'32MB': '299.00'},450.0
518,,皇庭通讯自营店,"{'64GB': '3680.00', '256GB': '4180.00'}",448.0
519,荣耀20i,荣耀官方旗舰店,"{'6+64GB': '1199.00', '4+128GB': '1399.00', '6+256GB': '1899.00'}",446.0
520,诺基亚600,诺基亚の正品,{'128MB': '118.00'},445.0
521,realmeX2,问鼎数码专营店,"{'6+64GB': '1499.00', '8+128GB': '1699.00', '6+128GB': '1599.00'}",444.0
522,荣耀20青春版,苏宁易购官方旗舰店,"{'4+64GB': '1099.00', '6+64GB': '1399.00'}",442.0
523,小米黑鲨游戏手机2Pro,白开水数码,{'128GB': '2149.00'},442.0
525,朵唯小朵S1,阿兰贝尔数码专营店,"{'1+8GB': '299.00', '1+16GB': '349.00', '2+16G': '399.00'}",441.0
526,小米9pro,广东电信亿品汇专卖店,"{'8+128GB': '3598.00', '8+256GB': '3599.00', '12+256GB': '4199.00', '12+512GB': '4399.00'}",441.0
524,OPPOA11,智宏新创数码专营店,"{'4+128GB': '1299.00', '6+256GB': '1599.01', '6+128GB': '1499.01'}",441.0
527,飞利浦PhilipsE258C,天中和数码专营店,{'64MB': '159.00'},440.0
528,华为SPN-AL00,苏宁易购官方旗舰店,"{'8+128GB': '2099.00', '8+256GB': '2399.00'}",440.0
529,OPPORenoAce,OPPO熊鑫专卖店,"{'8+128GB': '2999.00', '8+256GB': '3199.00', '12+256GB': '3999.00'}",439.0
530,中兴K2,苏宁易购官方旗舰店,{'32MB': '178.00'},438.0
531,iPhone8Plus,东东妈数码服务站,"{'64GB': '2550.00', '256GB': '2950.00'}",436.0
532,红米K30,能良数码官方旗舰店,"{'6+128GB': '1699.00', '8+128GB': '1899.00', '8+256GB': '2199.00', '6+64GB': '1599.00'}",435.0
533,诺基亚81104G,京联通达数码旗舰店,{'512+4GB': '359.00'},435.0
534,小辣椒红辣椒9E,中电盈讯数码专营店,"{'4+32GB': '489.00', '4+64GB': '599.00', '6+64GB': '699.00', '6+128GB': '769.00'}",434.0
535,iPhone8Plus,苏宁易购官方旗舰店,{'64GB': '4449.00'},434.0
536,红米K30,广东电信亿品汇专卖店,"{'6+64GB': '1599.00', '6+128GB': '1699.00', '8+128GB': '1899.00', '8+256GB': '2199.00'}",433.0
537,小米Max3,三际数码官方旗舰店,"{'4+64GB': '999.00', '6+128GB': '1299.00'}",430.0
538,OPPORenoAce,能良数码官方旗舰店,"{'8+128GB': '2999.00', '8+256GB': '3199.00', '12+256GB': '3899.00'}",429.0
540,荣耀9XPRO,三际数码官方旗舰店,{'8+256GB': '2199.00'},428.0
541,VIVL（手机）v17,2019正品手机旗见店,{'128GB': '428.00'},427.0
542,iPhone11,卓瓦数码专营店,"{'64GB': '5268.00', '128GB': '5788.00', '256GB': '6688.00'}",426.0
543,OPPOK5,OPPO熊鑫专卖店,"{'6+128GB': '1799.00', '8+128GB': '1999.00', '8+256GB': '2699.00'}",425.0
544,飞利浦E107,伟业恒通数码专营店,{'24MB': '123.00'},424.0
545,iPhoneXSMax,小家户数码商城,"{'64GB': '4300.00', '256GB': '4800.00', '512GB': '5200.00'}",424.0
549,纽曼L66,纽曼手机旗舰店,{'无': '59.00'},423.0
550,红米8,三际数码官方旗舰店,"{'3+32GB': '679.00', '4+64GB': '749.00'}",423.0
546,红米Note8Pro,中国移动官方旗舰店,"{'6+64GB': '1229.00', '6+128GB': '1379.00', '8+128GB': '1529.00', '8+256GB': '1749.00'}",423.0
548,iPhone8,格拉科技,"{'64GB': '2150.00', '256GB': '2450.00'}",423.0
547,,69数码手机,{'256GB': '2749.00'},423.0
552,荣耀Play3,三际数码官方旗舰店,"{'4+64GB': '799.00', '6+64GB': '1099.00', '4+128GB': '1299.00'}",421.0
553,荣耀8X,和来达数码专营店,{'6+128GB': '1449.00'},419.0
554,vivoX9,抖音数码,{'64GB': '678.00'},419.0
555,飞利浦E186A,苏宁易购官方旗舰店,{'32MB': '139.00'},419.0
557,魅族16th,魅族官方旗舰店,"{'6+128GB': '1998.00', '6+64GB': '1898.00'}",416.0
558,纽曼Q99+,好易用数码专营店,{'32MB': '98.00'},414.0
559,努比亚Z20,努比亚官方旗舰店,"{'6+128GB': '2799.00', '8+128GB': '2999.00', '8+512GB': '3499.00'}",413.0
561,小米9,叮当数码手机,{'256GB': '2478.00'},412.0
562,vivoZ5X,vivo曼尼金专卖店,"{'6+64GB': '1298.00', '6+128GB': '1398.00'}",412.0
564,YuCup,手机批发总部店,{'64MB': '88.00'},410.0
565,华为畅享5S,庆通数码,{'16GB': '320.00'},409.0
567,小辣椒小辣椒P60,中电盈讯数码专营店,"{'4+64GB': '599.00', '6+64GB': '699.00', '6+128GB': '799.00', '8+128GB': '999.00'}",408.0
568,荣耀20,广东电信亿品汇专卖店,"{'8+128GB': '2199.00', '8+256GB': '2499.00'}",407.0
570,创星（手机）ATMAN-S9,优机汇数码专营店,{'256MB': '88.00'},405.0
571,摩托罗拉测试,老村长商场,{'64MB': '120.00'},403.0
572,华为畅享8e,启能数码专营店,"{'2+32GB（8e青春版）': '469.00', '3+32G（畅享8e）': '699.00', '2+16G（荣耀畅玩7）': '439.00'}",401.0
574,iphone6S,小梦想数码,"{'16GB': '860.00', '32GB': '950.00', '64GB': '1010.00', '128GB': '1110.00'}",400.0
575,荣耀9x,卓瓦数码专营店,"{'4+64GB': '1099.00', '6+64GB': '1299.00', '6+128GB': '1799.00', '8+128GB': '1999.00'}",399.0
576,美图T9,美图万能小主专卖店,"{'4+64GB': '999.00', '6+128GB': '1299.00'}",398.0
577,vivoy67,品骏数码商城,{'32GB': '375.00'},398.0
580,华为nova5z,深圳远望数码手机,{'64GB': '5'},397.0
579,iPhone8,正品 全新 苹果,"{'64GB': '2450.00', '256GB': '2850.00'}",397.0
578,红米K30,土豪金手机,"{'128GB': '1754.00', '256GB': '1894.00'}",397.0
582,魅族16Xs,魅族官方旗舰店,"{'6+64GB': '1499.00', '6+128GB': '1699.00'}",395.0
583,vivoX27,vivo航鹰专卖店,{'8+128GB': '2498.00'},395.0
584,iPhoneXSMax,给力通讯数码城,"{'64GB': '3680.00', '256GB': '4180.00'}",393.0
585,ivvi,风口数码,"{'32GB': '548.00', '64GB': '588.00', '128GB': '688.00'}",393.0
586,华为2299,宏达数码科技,{'16MB': '55.00'},393.0
587,荣耀magic2,蓝港数码专营店,"{'8+128GB': '1869.00', '6+128GB': '1689.00'}",393.0
588,,叮当数码手机,"{'128GB': '3239.00-12368.00', '512GB': '3239.00-12368.00', '1TB': '3239.00-12368.00'}",393.0
589,iPhoneXSMax,启泰数码,"{'64GB': '3666.80', '256GB': '3983.24', '512GB': '4309.57'}",391.0
590,iPhone11ProMax,绿森数码官方旗舰店,"{'64GB': '9599.00', '256GB': '10899.00'}",390.0
