model,store,versions,sale
Apple/苹果 iPhone X ,,"{'64GB': '2000.00 - 4150.00', '256GB': '2000.00 - 4150.00'}",2308
21KE QF9,晟功数码专营店,{'512MB': '299.00'},2304
OPPO K5,苏宁易购官方旗舰店,"{'6+128GB': '1799.00', '8+128GB': '1999.00'}",2288
Apple/苹果 iPhone XS Max ,年轻玩物主义,"{'64GB': '3300.00 - 8888.00', '128GB': '3300.00 - 8888.00', '256GB': '3300.00 - 8888.00'}",2282
SANNAING ,,"{'128GB': '300.00 - 1000.00', '256GB': '300.00 - 1000.00'}",2280
纽曼 L660,青柠时代数码专营店,{'256MB': '269.00'},2275
小辣椒 F6,尚亿汇通数码专营店,{'32MB': '129.00'},2274
honor/荣耀 荣耀20i,三际数码官方旗舰店,"{'6+64GB': '999.00', '4+128GB': '1299.00', '6+128GB': '1499.00', '6+256GB': '1799.00'}",2264
OPPO A5,OPPO官方旗舰店,{'3+32GB': '699.00'},2242
Apple/苹果 iPhone XR ,淘贝贝数码城,"{'64GB': '4550.00 - 5200.00', '128GB': '4550.00 - 5200.00', '256GB': '4550.00 - 5200.00'}",2240
honor/荣耀 荣耀20i,广东电信亿品汇专卖店,"{'6+64GB': '999.00', '4+128GB': '1299.00', '6+256GB': '1899.00', '6+128GB': '1499.00'}",2222
关爱心 G3,创于佳讯数码专营店,{'256MB': '95.00'},2201
HUAWEI nova 6 SE,华为官方旗舰店,{'8+128GB': '2199.00'},2197
honor/荣耀 荣耀V20,苏宁易购官方旗舰店,{},2183
Xiaomi/小米 Redmi K20 Pro 尊享版,苏宁易购官方旗舰店,{'12+512GB': '2999.00'},2173
,百度网盘旗舰店,{},2169
HY ,易购手机大卖场,{'64MB': '295.00 - 408.00'},2169
honor/荣耀 荣耀8X MAX,荣耀官方旗舰店,"{'6+64GB': '999.00', '6+128GB': '1299.00'}",2161
Meizu/魅族 魅族16s Pro,魅族官方旗舰店,"{'6+128GB': '2699.00', '8+128GB': '2999.00'}",2151
Apple/苹果 iPhone 8 Plus ,,"{'64GB': '2800.00 - 4200.00', '256GB': '2800.00 - 4200.00'}",2140
Apple/苹果 iPhone 8 Plus ,华强手机批发,"{'64GB': '2050.00 - 4899.00', '256GB': '2050.00 - 4899.00'}",2118
关爱心 G3,关爱心旭光明专卖店,{'256MB': '95.00'},2114
Apple/苹果 iPhone 8 Plus ,新能源数码,"{'64GB': '2100.00', '128GB': '2400.00', '256GB': '2430.00'}",2098
