model,store,versions,sale
OPPO A11,智宏新创数码专营店,"{'4+128GB': '1299.00', '6+256GB': '1599.01', '6+128GB': '1499.01'}",441
DOOV/朵唯 小朵 S1,阿兰贝尔数码专营店,"{'1+8GB': '299.00', '1+16GB': '349.00', '2+16G': '399.00'}",441
Xiaomi/小米 小米9 pro,广东电信亿品汇专卖店,"{'8+128GB': '3598.00', '8+256GB': '3599.00', '12+256GB': '4199.00', '12+512GB': '4399.00'}",441
Philips/飞利浦 Philips E258C,天中和数码专营店,{'64MB': '159.00'},440
HUAWEI SPN-AL00,苏宁易购官方旗舰店,"{'8+128GB': '2099.00', '8+256GB': '2399.00'}",440
OPPO Reno Ace,OPPO熊鑫专卖店,"{'8+128GB': '2999.00', '8+256GB': '3199.00', '12+256GB': '3999.00'}",439
ZTE/中兴 K2,苏宁易购官方旗舰店,{'32MB': '178.00'},438
Apple/苹果 iPhone 8 Plus,东东妈数码服务站,"{'64GB': '2550.00', '256GB': '2950.00'}",436
Xiaomi/小米 Redmi K30,能良数码官方旗舰店,"{'6+128GB': '1699.00', '8+128GB': '1899.00', '8+256GB': '2199.00', '6+64GB': '1599.00'}",435
Nokia/诺基亚 8110 4G,京联通达数码旗舰店,{'512+4GB': '359.00'},435
小辣椒 红辣椒 9E,中电盈讯数码专营店,"{'4+32GB': '489.00', '4+64GB': '599.00', '6+64GB': '699.00', '6+128GB': '769.00'}",434
Apple/苹果 iPhone 8 Plus,苏宁易购官方旗舰店,{'64GB': '4449.00'},434
Xiaomi/小米 Redmi K30,广东电信亿品汇专卖店,"{'6+64GB': '1599.00', '6+128GB': '1699.00', '8+128GB': '1899.00', '8+256GB': '2199.00'}",433
Xiaomi/小米 小米Max3,三际数码官方旗舰店,"{'4+64GB': '999.00', '6+128GB': '1299.00'}",430
OPPO Reno Ace,能良数码官方旗舰店,"{'8+128GB': '2999.00', '8+256GB': '3199.00', '12+256GB': '3899.00'}",429
Apple/苹果 iphone6S,,"{'32GB': '900.00', '64GB': '1000.00', '128GB': '1100.00'}",429
honor/荣耀 荣耀9X PRO,三际数码官方旗舰店,{'8+256GB': '2199.00'},428
VIVL（手机） v17 ,2019正品手机旗见店,{'128GB': '428.00'},427
Apple/苹果 iPhone 11,卓瓦数码专营店,"{'64GB': '5268.00', '128GB': '5788.00', '256GB': '6688.00'}",426
OPPO K5,OPPO熊鑫专卖店,"{'6+128GB': '1799.00', '8+128GB': '1999.00', '8+256GB': '2699.00'}",425
Philips/飞利浦 E107,伟业恒通数码专营店,{'24MB': '123.00'},424
Apple/苹果 iPhone XS Max ,小家户数码商城,"{'64GB': '4300.00', '256GB': '4800.00', '512GB': '5200.00'}",424
Xiaomi/小米 Redmi Note8 Pro,中国移动官方旗舰店,"{'6+64GB': '1229.00', '6+128GB': '1379.00', '8+128GB': '1529.00', '8+256GB': '1749.00'}",423
 ,69数码手机,{'256GB': '2749.00'},423
Apple/苹果 iPhone 8 ,格拉科技,"{'64GB': '2150.00', '256GB': '2450.00'}",423
纽曼 L66,纽曼手机旗舰店,{'无': '59.00'},423
Xiaomi/小米 Redmi 8,三际数码官方旗舰店,"{'3+32GB': '679.00', '4+64GB': '749.00'}",423
LGRAVER ,,{'64MB': '68.00'},422
honor/荣耀 荣耀Play3,三际数码官方旗舰店,"{'4+64GB': '799.00', '6+64GB': '1099.00', '4+128GB': '1299.00'}",421
honor/荣耀 荣耀8X,和来达数码专营店,{'6+128GB': '1449.00'},419
vivo X9 ,抖音数码,{'64GB': '678.00'},419
Philips/飞利浦 E186A,苏宁易购官方旗舰店,{'32MB': '139.00'},419
Apple/苹果 iPhone 11 ,,"{'64GB': '5119.00', '128GB': '5579.00', '256GB': '6399.00'}",417
Meizu/魅族 16th,魅族官方旗舰店,"{'6+128GB': '1998.00', '6+64GB': '1898.00'}",416
纽曼 Q99+,好易用数码专营店,{'32MB': '98.00'},414
nubia/努比亚 Z20,努比亚官方旗舰店,"{'6+128GB': '2799.00', '8+128GB': '2999.00', '8+512GB': '3499.00'}",413
R.NTONK ,,{'128MB': '95.00'},413
Xiaomi/小米 小米9 ,叮当数码手机,{'256GB': '2478.00'},412
vivo Z5X,vivo曼尼金专卖店,"{'6+64GB': '1298.00', '6+128GB': '1398.00'}",412
Apple/苹果 iPhone XS ,,"{'64GB': '4230.00', '256GB': '4670.00'}",412
YuCup ,手机批发总部店,{'64MB': '88.00'},410
HUAWEI 华为畅享5S ,庆通数码,{'16GB': '320.00'},409
 ,,{'128GB': '1688.00'},409
小辣椒 小辣椒P60,中电盈讯数码专营店,"{'4+64GB': '599.00', '6+64GB': '699.00', '6+128GB': '799.00', '8+128GB': '999.00'}",408
honor/荣耀 荣耀20,广东电信亿品汇专卖店,"{'8+128GB': '2199.00', '8+256GB': '2499.00'}",407
 ,,{'无': '139.00'},406
创星（手机） ATMAN-S9,优机汇数码专营店,{'256MB': '88.00'},405
Motorola/摩托罗拉 测试,老村长商场,{'64MB': '120.00'},403
Huawei/华为 畅享8e,启能数码专营店,"{'2+32GB（8e青春版）': '469.00', '3+32G（畅享8e）': '699.00', '2+16G（荣耀畅玩7）': '439.00'}",401
,福禄网游数卡专营店,{},401
Apple/苹果 iphone6S,小梦想数码,"{'16GB': '860.00', '32GB': '950.00', '64GB': '1010.00', '128GB': '1110.00'}",400
honor/荣耀 荣耀9x,卓瓦数码专营店,"{'4+64GB': '1099.00', '6+64GB': '1299.00', '6+128GB': '1799.00', '8+128GB': '1999.00'}",399
Meitu/美图 T9,美图万能小主专卖店,"{'4+64GB': '999.00', '6+128GB': '1299.00'}",398
vivo y67 ,品骏数码商城,{'32GB': '375.00'},398
Xiaomi/小米 Redmi K30,土豪金手机,"{'128GB': '1754.00', '256GB': '1894.00'}",397
Apple/苹果 iPhone 8 ,正品 全新 苹果,"{'64GB': '2450.00', '256GB': '2850.00'}",397
HUAWEI nova 5z ,深圳远望数码手机,{'64GB': '5'},397
Apple/苹果 iPhone 8 Plus ,,"{'64GB': '2080.00', '256GB': '2480.00'}",397
Meizu/魅族 16Xs,魅族官方旗舰店,"{'6+64GB': '1499.00', '6+128GB': '1699.00'}",395
vivo X27,vivo航鹰专卖店,{'8+128GB': '2498.00'},395
Apple/苹果 iPhone XS Max ,给力通讯数码城,"{'64GB': '3680.00', '256GB': '4180.00'}",393
ivvi ,风口数码,"{'32GB': '548.00', '64GB': '588.00', '128GB': '688.00'}",393
HUAWEI 2299,宏达数码科技,{'16MB': '55.00'},393
honor/荣耀 荣耀magic 2,蓝港数码专营店,"{'8+128GB': '1869.00', '6+128GB': '1689.00'}",393
 ,叮当数码手机,"{'128GB': '3239.00-12368.00', '512GB': '3239.00-12368.00', '1TB': '3239.00-12368.00'}",393
Apple/苹果 iPhone XS Max ,启泰数码,"{'64GB': '3666.80', '256GB': '3983.24', '512GB': '4309.57'}",391
Apple/苹果 iPhone 11 Pro Max,绿森数码官方旗舰店,"{'64GB': '9599.00', '256GB': '10899.00'}",390
vivo iQOO Neo 855,vivo欧曙专卖店,"{'6+128GB': '2298.00', '8+128GB': '2498.00', '8+256GB': '2698.00', '6+64GB': '1998.00'}",390
,知乎盐选会员旗舰店,{},390
Apple/苹果 iPhone X ,大导数码,"{'64GB': '3600.00', '256GB': '4000.00'}",390
Meizu/魅族 16th Plus,魅族官方旗舰店,"{'6+128GB': '2098.00', '8+256GB': '2298.00'}",389
Nokia/诺基亚 600,大时代女人街,{'128MB': '64.90'},389
Xiaomi/小米 Redmi Note8 Pro,广东电信亿品汇专卖店,"{'6+64GB': '1249.00', '6+128GB': '1299.00', '8+128GB': '1449.00', '8+256GB': '1699.00'}",389
OPPO Reno Ace,OPPO官方旗舰店,{'12+256GB': '3799.00'},388
VDVD ,金诚时尚通讯,"{'16GB': '258.00 - 538.00', '32GB': '258.00 - 538.00', '64GB': '258.00 - 538.00', '128GB': '258.00 - 538.00'}",388
honor/荣耀 荣耀9x,荣耀官方旗舰店,"{'4+64GB': '1199.00', '6+64GB': '1299.00', '6+128GB': '1799.00', '8+128GB': '1999.00'}",387
vivo iQOO,苏宁易购官方旗舰店,{'12+128GB': '3098.00'},386
Apple/苹果 iPhone 8 Plus ,天玺数码科技,"{'64GB': '2399.00', '256GB': '2698.00'}",386
OPPO K5,OPPO平实专卖店,"{'6+128GB': '1799.00', '8+128GB': '1999.00', '8+256GB': '2699.00'}",386
Xiaomi/小米 Redmi Note8 Pro,能良数码官方旗舰店,"{'6+64GB': '1259.00', '8+128GB': '1499.00'}",386
Xiaomi/小米 红米4A ,乐申商城,"{'16GB': '279.00', '32GB': '379.00'}",385
OPPO K3,OPPO普天精诚专卖店,{'6+64GB': '1399.00'},385
vivo iQOO Pro 5G,vivo航鹰专卖店,"{'8GB+128GB': '3498.00', '8GB+256GB': '3998.00', '12GB+128GB': '3798.00'}",384
we ,金诚时尚通讯,"{'16GB': '268.00 - 558.00', '32GB': '268.00 - 558.00', '64GB': '268.00 - 558.00', '128GB': '268.00 - 558.00'}",384
Nokia/诺基亚 新105,苏宁易购官方旗舰店,{'4MB': '149.00'},383
HUAWEI 畅享9,君问数码官方旗舰店,"{'4+64GB': '859.00', '4+128GB': '959.00'}",383
vivo iQOO Neo 855,vivo官方旗舰店,"{'8+128GB': '2498.00', '6+128GB': '2198.00'}",383
HY ,易购手机大卖场,{'64MB': '338.00 - 428.00'},381
K-Touch/天语 T9,苏宁易购官方旗舰店,{'64MB': '149.00'},380
vivo iQOO Pro 5G,vivo衡视专卖店,"{'8GB+128GB': '3498.00', '8GB+256GB': '3998.00', '12GB+128GB': '3798.00'}",379
vivo X9S ,馨馨手机数码,{'64GB': '638.00 - 1088.00'},378
HUAWEI P20 ,亿兴数码城,"{'64GB': '1388.00 - 2148.00', '128GB': '1388.00 - 2148.00'}",378
